PMID,Date,PreceedingText,Estimate,Lower,Upper,Ratio,Beta  
37339008,2023 Sep 1,tion periodontitis diagnosis (HR = ,0.97,0.76,1.23,True,False
37339008,2023 Sep 1,"CI: 0.76, 1.23) or treatment (HR = ",1.01,0.79,1.27,True,False
37339008,2023 Sep 1,sitively associated with SAB (HR = ,1.38,0.88,2.14,True,False
16150891,2005 Oct 15,ted with both low (odds ratio (OR)=,1.86,1.14,3.03,True,False
16150891,2005 Oct 15," 1.14, 3.03) and moderate/high (OR=",1.85,1.07,3.02,True,False
16150891,2005 Oct 15,"istress, current heavy smoking (OR=",1.85,1.10,3.10,True,False
16150891,2005 Oct 15,arental education in childhood (OR=,1.72,1.06,2.80,True,False
16150891,2005 Oct 15,avioral disorders in childhood (OR=,1.87,1.02,3.41,True,False
30927363,2019 Aug 1,f death due to mesothelioma (SMR = ,2.24,1.39,3.42,False,False
12370158,2002 Oct 15,"val (CI): 1.2, 4.8; siblings: OR = ",5.8,2.6,13.3,True,False
12370158,2002 Oct 15,among probands with symptoms (OR = ,1.7,1.1,2.6,True,False
23942216,2013 Oct 1,orted no alopecia (relative risk = ,2.74,1.23,6.13,True,False
23820785,2013 Sep 1,The odds ratio for any allergy was ,0.79,0.62,1.00,True,False
23820785,2013 Sep 1,"xcluded, the pooled odds ratio was ",0.73,0.64,0.84,True,False
23820785,2013 Sep 1,y = 0.23). Hay fever (odds ratio = ,0.74,0.56,0.96,True,False
23820785,2013 Sep 1,d allergy to animals (odds ratio = ,0.62,0.41,0.94,True,False
26443417,2015 Nov 1,(adjusted multinomial odds ratio = ,1.50,1.21,1.87,True,False
26443417,2015 Nov 1,(adjusted multinomial odds ratio = ,0.80,0.66,0.98,True,False
23788675,2013 Aug 1,/L) concentration was related to a ,11.7,1.8,21.6,True,False
23788675,2013 Aug 1,"ence interval (CI): 1.8, 21.6) and ",5.1,0.2,10.3,False,False
23788675,2013 Aug 1,"rcentage, there was an increase of ",12.1,0.4,23.8,False,False
30834447,2019 Jun 1,-outcome confounders: risk ratio = ,1.85,1.06,3.24,True,False
24068200,2013 Nov 1,tios for lung cancer in women were ,1.65,1.16,2.35,False,False
24068200,2013 Nov 1,without adjustment for smoking and ,1.12,0.75,1.68,False,False
24068200,2013 Nov 1,justment for smoking (odds ratio = ,2.66,1.09,6.47,True,False
24068200,2013 Nov 1,in long-term barbers (odds ratio = ,2.20,1.02,4.77,True,False
22143821,2012 Jan 1,time of the child's conception was ,1.35,0.98,1.86,False,False
22143821,2012 Jan 1,"s, produced summary odds ratios of ",1.15,1.06,1.24,True,False
22143821,2012 Jan 1,time of the child's conception and ,1.44,1.24,1.68,False,False
16624968,2006 Jul 1,ter deaths to nonwinter deaths was ,1.24,1.16,1.34,False,False
16624968,2006 Jul 1,"al (CI): 1.16, 1.34) in 1900-1910, ",1.54,1.42,1.68,False,False
16624968,2006 Jul 1,"(95% CI: 1.42, 1.68) in 1927-1937, ",1.48,1.35,1.64,False,False
16624968,2006 Jul 1," CI: 1.35, 1.64) in 1954-1964, and ",1.22,1.13,1.31,False,False
16624968,2006 Jul 1,gree C drop below 15 degrees C was ,2.52,2.00,3.03,False,False
16624968,2006 Jul 1," C was 2.52% (95% CI: 2.00, 3.03), ",2.34,1.72,2.96,False,False
16624968,2006 Jul 1,"72, 2.96), 1.64% (1.10, 2.19), and ",1.17,0.88,1.45,False,False
15257996,2004 Aug 1,ual partner violence (risk ratio = ,2.43,1.93,3.06,True,False
15257996,2004 Aug 1,ault by a nonpartner (risk ratio = ,2.33,1.40,3.89,True,False
15257996,2004 Aug 1,ual partner violence (risk ratio = ,2.64,2.07,3.38,True,False
15257996,2004 Aug 1,ault by a nonpartner (risk ratio = ,2.14,0.92,4.98,True,False
12226002,2002 Sep 15,"7.0, 55.2, and 148.0 Bq/m(3)) were ",2.73,1.12,5.48,False,False
12226002,2002 Sep 15,"idence interval (CI): 1.12, 5.48), ",2.48,1.29,6.79,False,False
12226002,2002 Sep 15,"8), 2.48 (95% CI: 1.29, 6.79), and ",2.96,1.29,6.79,False,False
12142261,2002 Aug 1,lar among ever users (odds ratio = ,1.04,0.70,1.55,True,False
12142261,2002 Aug 1, among current users (odds ratio = ,0.87,0.49,1.54,True,False
24142916,2014 Jan 1,e individuals (hazard ratio (HR) = ,1.05,1.00,1.10,True,False
24142916,2014 Jan 1,ng-related cancers was lower (HR = ,0.87,0.79,0.96,True,False
24142916,2014 Jan 1,ear before the PD index date (HR = ,1.53,1.23,1.91,True,False
24142916,2014 Jan 1, after the index date onward (HR = ,1.46,1.01,2.10,True,False
16751260,2006 Sep 1,d for person-level covariates were ,3,2,10,False,False
16751260,2006 Sep 1,"CI): -2, 10) for a 30-day mean and ",4,3,11.0,False,False
16751260,2006 Sep 1,g/liter: adjusted odds ratios were ,1.05,0.96,1.15,True,False
16751260,2006 Sep 1,"os were 1.05 (95% CI: 0.96, 1.15), ",1.12,0.98,1.29,False,False
16751260,2006 Sep 1,"5), 1.12 (95% CI: 0.98, 1.29), and ",1.12,0.96,1.32,False,False
32280963,2020 Sep 1, none (adjusted prevalence ratio = ,3.35,2.41,4.66,True,False
32280963,2020 Sep 1,empts (adjusted prevalence ratio = ,2.54,1.80,3.57,True,False
26614599,2015 Dec 15,y (<1 cup/day: hazard ratio (HR) = ,0.99,0.92,1.07,True,False
26614599,2015 Dec 15,"(CI): 0.92, 1.07); 1 cup/day: HR = ",0.94,0.87,1.02,True,False
26614599,2015 Dec 15,"I: 0.87, 1.02); 2-3 cups/day: HR = ",0.82,0.77,0.88,True,False
26614599,2015 Dec 15,"I: 0.77, 0.88); 4-5 cups/day: HR = ",0.79,0.72,0.86,True,False
26614599,2015 Dec 15,"CI: 0.72, 0.86); ≥6 cups/day: HR = ",0.84,0.75,0.95,True,False
15191933,2004 Jun 15,(multivariate relative risk (RR) = ,1.20,1.06,1.37,True,False
15191933,2004 Jun 15," (CI): 1.06, 1.37) and women (RR = ",1.24,1.07,1.43,True,False
15191933,2004 Jun 15,ith pancreatic cancer in men (RR = ,1.48,1.27,1.73,True,False
15191933,2004 Jun 15,"5% CI: 1.27, 1.73) and women (RR = ",1.44,1.21,1.72,True,False
15191933,2004 Jun 15,associated with liver cancer (RR = ,2.19,1.76,2.72,True,False
15191933,2004 Jun 15,"76, 2.72) and bladder cancer (RR = ",1.43,1.14,1.80,True,False
15191933,2004 Jun 15, with breast cancer in women (RR = ,1.27,1.11,1.45,True,False
34379745,2022 Jan 1,l when used at any latitudes (HR = ,1.02,0.82,1.27,True,False
34379745,2022 Jan 1,d in lower-latitude settings (HR = ,1.05,0.84,1.32,True,False
16371514,2006 Feb 15,d for cancers of the breast (SMR = ,0.64,0.59,0.69,False,False
16371514,2006 Feb 15,": 0.59, 0.69), corpus uteri (SMR = ",0.68,0.56,0.80,False,False
16371514,2006 Feb 15," 95% CI: 0.56, 0.80), ovary (SMR = ",0.68,0.60,0.75,False,False
16371514,2006 Feb 15,"5% CI: 0.60, 0.75), bladder (SMR = ",0.59,0.41,0.82,False,False
16371514,2006 Feb 15,".82), and respiratory tract (SMR = ",0.80,0.72,0.88,False,False
16371514,2006 Feb 15,mortality was kidney cancer (SMR = ,1.38,1.21,1.56,False,False
16371514,2006 Feb 15,o was also low for dementia (SMR = ,0.78,0.72,0.84,False,False
16371514,2006 Feb 15,"0.84), respiratory diseases (SMR = ",0.80,0.75,0.85,False,False
16371514,2006 Feb 15,ccidents and violent causes (SMR = ,0.79,0.73,0.84,False,False
16371514,2006 Feb 15,lity from diabetes mellitus (SMR = ,1.42,1.29,1.55,False,False
16371514,2006 Feb 15, and ischemic heart disease (SMR = ,1.10,1.08,1.13,False,False
31111944,2019 Jul 1,t pregnancy were estimated to have ,2.0,0.5,3.5,False,False
31111944,2019 Jul 1,"E, and parametric TMLE represented ",6.9,3.7,10.0,False,False
31111944,2019 Jul 1,"presented 6.9 (95% CI: 3.7, 10.0), ",0.4,0.1,0.7,False,False
31111944,2019 Jul 1,"10.0), 0.4 (95% CI: 0.1, 0.7), and ",2.9,1.5,4.2,False,False
23572049,2013 May 1, m of a power line (hazard ratio = ,1.04,0.69,1.56,True,False
15286016,2004 Aug 15,ntaminated adenovirus vaccine were ,0.81,0.52,1.24,False,False
15286016,2004 Aug 15,"CI): 0.52, 1.24) for brain tumors, ",1.41,0.39,5.15,False,False
15286016,2004 Aug 15," 0.39, 5.15) for mesothelioma, and ",0.97,0.65,1.44,False,False
16221808,2005 Nov 15,ys/Cys genotype (odds ratio (OR) = ,1.24,1.01,1.53,True,False
16221808,2005 Nov 15, for tobacco-related cancers (OR = ,0.86,0.77,0.95,True,False
16221808,2005 Nov 15, cancers among light smokers (OR = ,1.38,0.99,1.94,True,False
16221808,2005 Nov 15,sed risk among heavy smokers (OR = ,0.71,0.51,0.99,True,False
17204517,2007 Mar 15,t of Priorix (relative incidence = ,6.26,3.85,10.18,True,False
17204517,2007 Mar 15,5-day period (relative incidence = ,1.48,0.88,2.50,True,False
17443023,2007 Jul 1,he age-adjusted hazard ratios were ,0.58,0.41,0.81,True,False
17443023,2007 Jul 1,f 20.1-75.0 parts per trillion and ,0.62,0.44,0.89,False,False
15229113,2004 Jul 1,se of permanent dyes (odds ratio = ,1.5,1.0,2.1,True,False
15229113,2004 Jul 1,r more years) of use (odds ratio = ,1.8,1.0,3.1,True,False
15229113,2004 Jul 1,o six times per year (odds ratio = ,2.4,1.0,5.8,True,False
12142258,2002 Aug 1,roup 32-<36 kg/m(2) (hazard ratio =,1.62,1.0,2.7,True,False
12142258,2002 Aug 1, but not for women (hazard ratio = ,0.71,0.4,1.2,True,False
26377958,2015 Oct 15, associated with AML (odds ratio = ,1.2,1.0,1.4,True,False
26377958,2015 Oct 15,.4) but not with ALL (odds ratio = ,1.0,0.9,1.1,True,False
15105178,2004 May 1,tial exposure had an odds ratio of ,1.58,1.30,1.92,True,False
15105178,2004 May 1,and ER-negative breast cancer were ,1.33,0.93,1.90,False,False
15105178,2004 May 1,"were 1.33 (95% CI: 0.93, 1.90) and ",1.40,0.78,2.50,False,False
15105178,2004 May 1,onal exposure had an odds ratio of ,1.13,0.91,1.40,True,False
33305787,2021 May 4,risk of HHF (adjusted odds ratio = ,14.90,4.48,49.58,True,False
17327216,2007 Jun 1,f more than 60 years (odds ratio = ,2.8,1.6,4.9,True,False
17327216,2007 Jun 1,ared with the lowest (odds ratio = ,1.7,1.2,2.4,True,False
35238336,2022 Jun 27,e of saturated fat (hazard ratio = ,1.49,1.04,1.95,True,False
35238336,2022 Jun 27,cline in language overall (beta = -,0.12,0.23,0.02,False,True
21454824,2011 Jun 1, ≥6 consecutive night shifts (OR = ,1.8,1.1,2.8,True,False
25837305,2015 May 15,r per 100 working level months was ,1.168,1.152,1.174,False,False
25837305,2015 May 15,"unadjusted model, the estimate was ",1.102,1.099,1.112,False,False
29370331,2018 Jul 1," CI): 0.004, 0.023) and atopy (β = ",0.014,0.001,0.027,False,True
29370331,2018 Jul 1,orts of child health problems (β = ,0.024,0.004,0.043,False,True
29370331,2018 Jul 1,s affording basic necessities (β = ,0.019,0.001,0.038,False,True
15383413,2004 Oct 1,ental disorders (odds ratio (OR) = ,2.0,1.1,3.5,True,False
15383413,2004 Oct 1,derate physical disabilities (OR = ,1.7,1.2,2.3,True,False
15383413,2004 Oct 1,just prior to the earthquake (OR = ,1.4,1.2,1.7,True,False
15383413,2004 Oct 1,"95% CI: 1.1, 2.1; <NT$20,000: OR = ",2.2,1.6,3.0,True,False
11384950,2001 May 15,ean change in body mass index was -,0.54,0.90,0.12,False,False
11384950,2001 May 15,"d in the first year of follow-up, -",0.03,0.18,0.12,False,False
11384950,2001 May 15,"he first 4 years of follow-up, and ",0.36,0.33,0.39,False,False
11384950,2001 May 15,he nonobese category (odds ratio = ,2.14,1.44,3.17,True,False
11384950,2001 May 15,than in healthy ones (odds ratio = ,1.29,1.01,1.67,True,False
23479347,2013 Apr 1,ith a 46% (adjusted hazard ratio = ,1.46,1.29,1.66,True,False
23479347,2013 Apr 1,ed by 57% (adjusted hazard ratio = ,0.43,0.30,0.62,True,False
12915499,2003 Aug 15, of cumulative updated intake were ,1.17,0.87,1.58,False,False
12915499,2003 Aug 15,"): 0.87, 1.58) for alpha-carotene, ",1.10,0.82,1.48,False,False
12915499,2003 Aug 15,"CI: 0.82, 1.48) for beta-carotene, ",0.95,0.70,1.29,False,True
12915499,2003 Aug 15,".70, 1.29) for beta-cryptoxanthin, ",0.82,0.60,1.12,False,True
12915499,2003 Aug 15,"(95% CI: 0.60, 1.12) for lycopene, ",0.92,0.69,1.24,False,False
12915499,2003 Aug 15,"0.69, 1.24) for lutein/zeaxanthin, ",1.05,0.59,1.89,False,False
12915499,2003 Aug 15,"95% CI: 0.59, 1.89) for vitamin C, ",0.97,0.62,1.52,False,False
12915499,2003 Aug 15,"CI: 0.62, 1.52) for vitamin E, and ",1.11,0.82,1.51,False,False
18945689,2008 Dec 1,ancer in whites (odds ratio (OR) = ,0.60,0.46,0.79,True,False
18945689,2008 Dec 1, cyclooxygenase 2 inhibitors (OR = ,0.38,0.25,0.56,True,False
18945689,2008 Dec 1,s found in African Americans (OR = ,0.87,0.55,1.40,True,False
17110637,2007 Feb 1,cups/week versus 0-4 cups/week was ,0.68,0.43,1.07,False,False
17110637,2007 Feb 1,"eek, the relative risks of MI were ",0.84,0.51,1.38,True,False
17110637,2007 Feb 1,"CI: 0.51, 1.38) for 5-7 cups/week, ",0.65,0.41,1.03,False,False
17110637,2007 Feb 1," CI: 0.41, 1.03) for 2-3 cups/day, ",0.64,0.39,1.04,False,False
17110637,2007 Feb 1," 0.39, 1.04) for 4-5 cups/day, and ",0.65,0.37,1.12,False,False
32696055,2020 Nov 2,n waves 1 and 2 (odds ratio (OR) = ,1.53,1.32,1.77,True,False
32696055,2020 Nov 2,Wave 1 financial debt/crisis (OR = ,1.58,1.06,2.34,True,False
32696055,2020 Nov 2,"I: 1.06, 2.34), unemployment (OR = ",1.52,1.10,2.10,True,False
32696055,2020 Nov 2,"10, 2.10), past homelessness (OR = ",1.50,1.03,2.17,True,False
32696055,2020 Nov 2,".03, 2.17), and lower income (OR = ",1.51,1.01,2.25,True,False
19342400,2009 May 15, with or without cleft palate were ,1.39,1.01,1.92,False,False
19342400,2009 May 15,92) for less than 3 cups a day and ,1.59,1.05,2.39,False,False
19342400,2009 May 15,"ps vs. none, adjusted odds ratio = ",0.96,0.55,1.67,True,False
26667255,2016 Jan 1,pment Index (adjusted odds ratio = ,0.5,0.3,0.8,True,False
26667255,2016 Jan 1,pment Index (adjusted odds ratio = ,1.7,1.04,2.7,True,False
19783584,2009 Nov 1,e of white matter lesions (beta = -,0.12,0.20,0.04,False,True
19783584,2009 Nov 1,of >or=2 lacunar infarcts (beta = -,0.48,0.87,0.09,False,True
11296146,2001 Apr 15,nirradiated group (relative risk = ,14.8,0.76,286.3,True,False
11296146,2001 Apr 15, nonexposed group (relative risk = ,4.2,0.38,46.6,True,False
10853633,2000 May 15,f breast cancer (odds ratio (OR) = ,2.1,0.9,5.0,True,False
10853633,2000 May 15,crease in breast cancer risk (OR = ,7.2,0.9,58.3,True,False
21389041,2011 Apr 1,intile 1/quintile 1 hazard ratio = ,1.31,1.08,1.59,True,False
26033931,2015 Jul 15,for incident (relative risk (RR) = ,1.95,1.53,2.49,True,False
26033931,2015 Jul 15,".53, 2.49) but not recurrent (RR = ",1.09,0.71,1.19,True,False
26033931,2015 Jul 15,increased risk for recurrent (RR = ,2.38,1.53,3.71,True,False
28525626,2017 Jul 1,able-adjusted relative risk (RR) = ,0.99,0.90,1.09,True,False
28525626,2017 Jul 1,"o tan, multivariable-adjusted RR = ",0.98,0.92,1.05,True,False
28525626,2017 Jul 1,"ction, multivariable-adjusted RR = ",1.01,0.93,1.08,True,False
28525626,2017 Jul 1,"ype I, multivariable-adjusted RR = ",0.99,0.92,1.05,True,False
25925388,2015 Jun 15, all-cause mortality (hazard ratio=,0.88,0.76,1.01,True,False
25925388,2015 Jun 15,r than breast cancer (hazard ratio=,0.63,0.49,0.80,True,False
36963378,2023 Jul 7,ated with a lower mean z score of -,0.11,0.17,0.05,False,False
33576370,2021 Aug 1,h health-care utilization rates of ,347.2,317.5,377.0,False,False
33576370,2021 Aug 1,"e interval (CI): 317.5, 377.0) and ",67.3,66.3,68.3,False,False
33576370,2021 Aug 1,less youth (incidence rate ratio = ,1.53,1.32,1.77,True,False
25205831,2014 Oct 15, (approximately 7.6 cm) years were ,1.17,1.05,1.30,False,False
25205831,2014 Oct 15,"nce interval (CI): 1.05, 1.30) and ",1.21,1.09,1.35,False,False
25205831,2014 Oct 15,h risk (per 0.5 kg: hazard ratio = ,1.13,1.04,1.24,True,False
11117614,2000 Dec 1,ce of high depressive symptoms was ,11.4,9.6,13.6,False,False
11117614,2000 Dec 1,at of non-Hispanic White women was ,2.11,1.32,3.38,False,False
11117614,2000 Dec 1,e odds ratio in Hispanic women was ,2.12,1.19,3.80,True,False
11117614,2000 Dec 1,the high acculturation stratum was ,1.56,0.75,3.27,True,False
11117614,2000 Dec 1, the low acculturation stratum was ,2.51,1.11,5.70,True,False
25587176,2015 Feb 1,ajectory among granddaughters (β = ,0.10,0.03,0.17,False,True
25587176,2015 Feb 1,0.17) but not among grandsons (β = ,0.02,0.04,0.08,False,True
18550561,2008 Aug 1,th a reduced risk of all NHL (OR = ,0.68,0.48,0.98,True,False
18550561,2008 Aug 1," CI: 0.48, 0.98) and of DLCL (OR = ",0.50,0.30,0.85,True,False
18550561,2008 Aug 1,ated a lower risk of all NHL (OR = ,0.68,0.49,0.94,True,False
18550561,2008 Aug 1,".49, 0.94), and perhaps DLCL (OR = ",0.79,0.51,1.2,True,False
18550561,2008 Aug 1,", and of follicular lymphoma (OR = ",0.75,0.46,1.2,True,False
11085397,2000 Nov 1,"ritis of the hip, the odds ratio = ",25.1,3.5,181,True,False
11085397,2000 Nov 1,"nterval (CI): 3.5, 181) in men and ",43.3,11.7,161,False,False
11085397,2000 Nov 1,"itis of the knee, the odds ratio = ",12.1,3.4,42.5,True,False
11085397,2000 Nov 1,"2.1 (95% CI: 3.4, 42.5) in men and ",7.6,3.8,15.2,False,False
11085397,2000 Nov 1,"ritis of the hip, the odds ratio = ",12.5,1.5,104.3,True,False
11085397,2000 Nov 1,".5 (95% CI: 1.5, 104.3) in men and ",2.3,0.6,8.1,False,False
11085397,2000 Nov 1,"itis of the knee, the odds ratio = ",2.5,1.0,6.4,True,False
11085397,2000 Nov 1," 2.5 (95% CI: 1.0, 6.4) in men and ",5.1,2.5,10.2,False,False
11085397,2000 Nov 1,"ritis of the hip, the odds ratio = ",3.1,0.7,14.3,True,False
11085397,2000 Nov 1,"3.1 (95% CI: 0.7, 14.3) in men and ",2.4,1.1,5.3,False,False
11085397,2000 Nov 1,"itis of the knee, the odds ratio = ",5.4,2.4,12.4,True,False
11085397,2000 Nov 1,"5.4 (95% CI: 2.4, 12.4) in men and ",2.0,1.2,3.1,False,False
11682364,2001 Nov 1,"e following: nonaccidental deaths, ",3.3,1.7,5.0,False,False
11682364,2001 Nov 1," interval (CI): 1.7, 5.0); cancer, ",3.9,1.0,6.91,False,False
11682364,2001 Nov 1,"0, 6.91); cardiovascular diseases, ",2.5,0.2,5.0,False,False
11682364,2001 Nov 1,"2, 5.0); and respiratory diseases, ",6.6,1.8,11.8,False,False
36269008,2023 Feb 1,or PPR with SMM (risk ratio (RR) = ,5.55,4.14,7.44,True,False
36269008,2023 Feb 1, any mental health diagnosis (RR = ,2.10,1.91,2.30,True,False
36269008,2023 Feb 1," 2.30), chronic hypertension (RR = ",2.17,1.85,2.55,True,False
36269008,2023 Feb 1,"), and prepregnancy diabetes (RR = ",2.85,2.47,3.30,True,False
36269008,2023 Feb 1, on par with SMM at delivery (RR = ,1.89,1.49,2.40,True,False
17584756,2007 Sep 1,vival from OOHCA among Blacks were ,0.4,0.2,0.7,False,False
25977516,2015 Jul 1,"al: 1.03, 3.02; HS: hazard ratio = ",1.02,0.72,1.44,True,False
11867347,2002 Mar 1,". nonsnoring, relative risk (RR) = ",1.48,1.29,1.70,True,False
11867347,2002 Mar 1,"gular snoring vs. nonsnoring, RR = ",2.25,1.91,2.66,True,False
11867347,2002 Mar 1,"risk (for occasional snoring, RR = ",1.41,1.22,1.63,True,False
11867347,2002 Mar 1,", 1.63); for regular snoring, RR = ",2.03,1.71,2.40,True,False
17693393,2007 Nov 1,c renal failure (odds ratio (OR) = ,2.6,0.9,7.7,True,False
17693393,2007 Nov 1,"7), congestive heart failure (OR = ",5.6,2.2,14.5,True,False
17693393,2007 Nov 1,ed alcohol use or alcoholism (OR = ,2.9,1.5,5.4,True,False
17693393,2007 Nov 1,ght (kg)/height (m)(2)) <5th (OR = ,3.2,1.0,10.6,True,False
17693393,2007 Nov 1," 95% CI: 1.0, 10.6) or >95th (OR = ",2.8,1.0,8.0,True,False
17693393,2007 Nov 1,"percentile, and unemployment (OR = ",2.6,1.2,5.5,True,False
17947221,2008 Jan 15,rease in reported birth weight was ,1.01,0.98,1.05,False,False
12196315,2002 Sep 1,e or more wine drinks per day were ,0.8,0.5,1.3,False,False
12196315,2002 Sep 1,"confidence interval: 0.5, 1.3) and ",0.4,0.2,0.9,False,False
12196315,2002 Sep 1,e or more wine drinks per day were ,0.4,0.2,0.97,False,False
12196315,2002 Sep 1,"onfidence interval: 0.2, 0.97) and ",0.3,0.1,0.8,False,False
28369180,2017 Apr 15,"rval (CI): 1.10, 4.41; ORcurrent = ",3.56,1.60,7.92,True,False
28369180,2017 Apr 15,"5, 95% CI: 1.18, 7.37; ORcurrent = ",5.63,2.07,15.3,True,False
28369180,2017 Apr 15,"95% CI: 0.15, 1.0; for women, AP = ",0.5,0.005,1.0,False,False
24966224,2014 Aug 1,c obstructive pulmonary disease is ,1.91,1.62,2.26,False,False
26271116,2015 Sep 1,sonal hay fever (odds ratio (OR) = ,0.28,0.10,0.75,True,False
26271116,2015 Sep 1, 0.75) and certain allergies (OR = ,0.29,0.13,0.68,True,False
26271116,2015 Sep 1,ely associated with NHL risk (OR = ,0.35,0.14,0.90,True,False
29020264,2018 Apr 1,nt temperature was associated with ,4.8,3.6,6.0,False,False
29020264,2018 Apr 1,"nfidence interval (CI): 3.6, 6.0), ",5.8,4.5,7.1,False,False
29020264,2018 Apr 1,"6.0), 5.8% (95% CI: 4.5, 7.1), and ",7.9,7.3,8.4,False,False
19056835,2009 Feb 15,atio for >or= 7 hours per week was ,0.43,0.31,0.59,False,False
19056835,2009 Feb 15,iabetes risk (incidence rate ratio=,0.67,0.49,0.92,True,False
19056835,2009 Feb 15,risk: The incidence rate ratio was ,1.86,1.54,2.24,True,False
23524039,2013 Apr 15,ed in Italy (adjusted odds ratio = ,2.64,2.41,2.89,True,False
23524039,2013 Apr 15, and Norway (adjusted odds ratio = ,2.33,1.77,3.08,True,False
23524039,2013 Apr 15,n Australia (adjusted odds ratio = ,1.14,1.05,1.25,True,False
23524039,2013 Apr 15,"5), Finland (adjusted odds ratio = ",1.30,1.14,1.48,True,False
23524039,2013 Apr 15,"48), Sweden (adjusted odds ratio = ",1.51,1.35,1.69,True,False
23524039,2013 Apr 15,ted Kingdom (adjusted odds ratio = ,2.03,1.68,2.46,True,False
23524039,2013 Apr 15,ited States (adjusted odds ratio = ,1.50,1.36,1.65,True,False
23548752,2013 May 1,amily history of AMD (odds ratio = ,0.2,0.1,0.8,True,False
23548752,2013 May 1,story of the disease (odds ratio = ,1.0,0.9,1.2,True,False
23548752,2013 May 1,er C-reactive protein levels (β = -,0.19,0.38,0.01,False,True
34718381,2022 Jan 24,"ible transitions (intensity ratio, ",1.107,1.080,1.176,True,False
34718381,2022 Jan 24,"o-HIV transition (intensity ratio, ",9.558,0.738,65.048,True,False
34718381,2022 Jan 24,ligible-to-ineligible transitions (,0.285,0.252,0.319,False,False
34718381,2022 Jan 24," (0.285 (95% CI: 0.252, 0.319) vs. ",0.258,0.228,0.287,False,False
34718381,2022 Jan 24,ore likely than ineligible-to-HIV (,0.004,0.003,0.007,False,False
34718381,2022 Jan 24," (0.004 (95% CI: 0.003, 0.007) vs. ",0.001,0.001,0.008,False,False
17631607,2007 Sep 15,per day. Adjusted odds ratios were ,1.24,1.03,1.49,True,False
17631607,2007 Sep 15,": 1.03, 1.49) for birth weight and ",1.21,1.01,1.43,False,False
17631607,2007 Sep 15,ant for birth length (odds ratio = ,1.20,1.00,1.45,True,False
34165143,2022 Mar 24, observed an early exposure aHR of ,1.34,1.26,1.43,True,False
34165143,2022 Mar 24,"26, 1.43) for placental abruption, ",1.21,1.18,1.23,False,False
34165143,2022 Mar 24," 1.18, 1.23) for preterm delivery, ",1.13,1.09,1.17,False,False
34165143,2022 Mar 24,"gher aHRs for placental abruption, ",1.62,1.47,1.78,True,False
34165143,2022 Mar 24,"CI: 1.47, 1.78); preterm delivery, ",1.37,1.33,1.42,False,False
34165143,2022 Mar 24,".37 (95% CI: 1.33, 1.42); and SGA, ",1.26,1.19,1.33,False,False
34165143,2022 Mar 24,"1.19, 1.33); but not preeclampsia, ",0.99,0.93,1.05,False,False
27651381,2016 Oct 1,roblems. Seasonality accounted for ,11.4,9.0,13.7,False,False
17485731,2007 Jul 15, risk for the highest quintile was ,0.82,0.71,0.94,False,False
17485731,2007 Jul 15," interval: 0.71, 0.94) for men and ",1.12,0.90,1.38,False,False
17485731,2007 Jul 15,"=2.0 servings/1,000 kcal per day = ",1.26,1.03,1.54,False,False
17485731,2007 Jul 15, highest quintile vs. the lowest = ,0.86,0.74,0.99,False,False
25810457,2015 May 1,rain lesions (relative risk (RR) = ,0.82,0.61,1.10,True,False
25810457,2015 May 1," 1.10), cerebral microbleeds (RR = ",0.69,0.37,1.32,True,False
25810457,2015 May 1,"37, 1.32), total brain volume (β = ",0.05,0.34,0.45,False,True
25810457,2015 May 1, white matter lesions volume (β = -,0.10,0.20,0.01,False,True
25810457,2015 May 1,"I: -0.20, 0.01), or dementia (RR = ",0.91,0.49,1.72,True,False
15583372,2004 Dec 15,ds of missed periods (odds ratio = ,1.5,1.2,1.9,True,False
24786799,2014 Jul 1,oustic neuroma cases (odds ratio = ,1.47,1.06,2.03,True,False
24786799,2014 Jul 1,lubs/sporting events (odds ratio = ,1.82,1.09,3.04,True,False
24786799,2014 Jul 1,panied by loud music (odds ratio = ,2.84,1.37,5.89,True,False
18503038,2008 Jul 15,g as compared with no douching was ,1.21,1.08,1.38,False,False
15615914,2005 Jan 1,for five or more pregnancies: OR = ,1.4,0.6,3.1,True,False
15615914,2005 Jan 1,for five or more pregnancies: OR = ,0.8,0.2,3.0,True,False
21540318,2011 Jul 1,"quintile, adjusted relative risk = ",0.64,0.45,0.92,True,False
21540318,2011 Jul 1,esponding adjusted relative risk = ,0.56,0.38,0.84,True,False
21540318,2011 Jul 1,esponding adjusted relative risk = ,0.63,0.42,0.93,True,False
21540318,2011 Jul 1," tertile, adjusted relative risk = ",2.04,1.24,3.35,True,False
14977649,2004 Mar 1, of self-reported constipation was ,29.5,24.9,34.3,False,False
14977649,2004 Mar 1," interval (CI): 24.9, 34.3) versus ",19.2,15.1,23.3,False,False
14977649,2004 Mar 1,"sus 19.2% (95% CI: 15.1, 23.3) and ",14.0,10.4,17.7,False,False
10853634,2000 May 15,"h bowel movements once daily, were ",0.94,0.69,1.28,False,False
10853634,2000 May 15,"0.69, 1.28) for colorectal cancer, ",0.88,0.62,1.26,False,False
10853634,2000 May 15," 0.62, 1.26) for colon cancer, and ",1.18,0.63,2.20,False,False
10853634,2000 May 15, weekly to daily laxative use were ,1.00,0.72,1.40,False,False
10853634,2000 May 15,"0.72, 1.40) for colorectal cancer, ",1.09,0.76,1.57,False,False
